Fecha,Tipo de norma,Iniciativa legislativa,Categoría,Temática,Estatus,Fase,Etiqueta,Subido,Directiva,Reglamento,Contenido de la etiqueta / * (La directiva europea y/o el reglamento de la UE no es lo principal de la iniciativa),BOCG,BOE,Entrada vigor,Comentarios,
2/2025,Proposición de ley,Proposición de Ley para la actualización de los precios en los contratos del sector público,Aviso, Adm. Publica,En tramitación,Pleno toma en consideración,No,,(UE) 2014/23 y (UE) 2014/24,,"Esta propuesta modifica la Ley 9/2017 de Contratos del Sector Público que transpone las Directivas 2014/23/UE y 2014/24/UE. La propuesta incluye un nuevo artículo que hace extensiva la actualización de precios a todos los contratos del sector público y que, a su vez, excluye a los contratos de concesión de obras y servicios para no contravenir las previsiones de la Directiva 2014/23/UE relativa a la adjudicación de contratos de concesión.",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000158,,,,
1/2025,Proyecto de ley,Proyecto de Ley de transparencia e integridad de las actividades de los grupos de interés.,Aviso,Derechos y regeneración democrática,En tramitación,Comisión de Hacienda y Función Pública (enmiendas),No,,,,"Se enmarca en el Plan de Acción por la Democracia Europea y el Libro Verde sobre la iniciativa europea en favor de la transparencia del que naciera el Registro de Transparencia en la UE, que defiende que las actividades de los grupos de presión deben ser públicas y transparentes.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000046,,,,
1/2025,Proposición de ley,"Proposición de Ley Orgánica para garantizar el funcionamiento de las secciones de los Tribunales de Instancia y de las Audiencias provinciales en materia de violencia sobre la mujer, así como la especialización de los jueces y magistrados destinados en ellas.",Aviso,Justicia,Decaída,Rechazado,No,,(UE) 2024/1385,,Se enmarca en la Directiva 2024/1385 sobre lucha contra la violencia contra las mujeres y la violencia doméstica y también en el Convenio del Consejo de Europa para prevenir y combatir la violencia contra la mujer y la violencia doméstica,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000149,,,,
1/2025,Proposición de ley,Proposición de Ley Orgánica de garantía y protección de los derechos fundamentales frente al acoso derivado de acciones judiciales abusivas.,Aviso,Justicia,En tramitación,Pleno toma en consideración,No,,(UE) 2024/1069,,"Se apoya en la Directiva (UE) 2024/1069 del Parlamento Europeo y del Consejo, de 11 de abril de 2024, relativa a la protección de las personas que se implican en la participación pública frente a pretensiones manifiestamente infundadas o acciones judiciales abusivas. ",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000147,,,,
1/2025,Proyecto de ley,"Proyecto de Ley Orgánica por la que se modifica la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial, y la Ley 50/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal, para la ampliación y fortalecimiento de las carreras judicial y fiscal.",Trasposición,Justicia,En tramitación,Comisión de Justicia Informe,No,,(UE) 1999/70/CE,,"El proyecto completa la incorporación al derecho español de la Directiva 1999/70/CE del Consejo, de 28 de junio de 1999, en lo relativo al trabajo de duración determinada, en el ámbito de la Administración de Justicia. Sistematiza un proceso de estabilización de los jueces sustitutos y fiscales interinos, en respuesta a los requerimientos de la Comisión Europea, que pidió a España reducir la temporalidad excesiva en las carreras judicial y fiscal",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000059,,,,
1/2025,Anteproyecto,Anteproyecto de Ley de Coordinación y Gobernanza de la Ciberseguridad,Trasposición,"Interior, Defensa y Seguridad",En tramitación,Aprobado en primera vuelta por Consejo de Ministros,Si,,(UE) 2022/2555,,"Incorpora la Directiva (UE) 2022/2555, conocida como NIS-2, que incluye que garantiza más ciberseguridad en la UE",,,,,
LEYES 2025,,,,,,,,,,,,,,,,
12/2024,Real decreto-ley,"Real Decreto-ley 10/2024, de 23 de diciembre, para el establecimiento de un gravamen temporal energético durante el año 2025",Aviso,Energia,Decaída,Derogado por el Congreso,No,,(UE) 2018/1999,,"Referencias a las normativas sobre ayudas estatales de la Unión Europea y al Reglamento (UE) 2018/1999 y Plan REPowerEU, sobre los que se apoya para establecer el gravamen energético",,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-26916,25/12/2024,,
12/2024,Real decreto-ley,"Real Decreto-ley 9/2024, de 23 de diciembre, por el que se adoptan medidas urgentes en materia económica, tributaria, de transporte, y de Seguridad Social, y se prorrogan determinadas medidas para hacer frente a situaciones de vulnerabilidad social.",Trasposición,Mercado Interior,Decaída,Derogado por el Congreso,Si,,,2022/2065,"El RDL adapta la Ley 34/2002 al Reglamento 2022/2065, conocido como ""Ley de Servicios Digitales (DSA)"", que establece un mercado único de servicios digitales. La ley nacional designa a la Comisión Nacional de los Mercados y la Competencia (CNMC) como coordinadora de servicios digitales y responsable de controlar el cumplimiento del reglamento.",,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-26915,25/12/2024,,
12/2024,Proyecto de ley,Proyecto de Ley de Industria y Autonomía Estratégica.,Trasposición,Otros,En tramitación,Comisión de Industria y Turismo (Enmiendas),Si,SÍ,,2024/1252 y 2024/1735 ,"Se adapta a varios reglamentos europeos, especialmente al Reglamento (UE) 2024/1252 que establece un marco para garantizar un suministro seguro y sostenible de materias primas fundamentales y al Reglamento (UE) 2024/1735 relativo a la fabricación de tecnologías de cero emisiones netas",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000043,,,,
12/2024,Anteproyecto,Anteproyecto de Ley para regular el régimen de infracciones y sanciones aplicable a los productos paneuropeos de pensiones individuales (PEPP).,Trasposición,Pol Social y Empleo,En tramitación,Aprobado en primera vuelta por Consejo de Ministros,si,,,2019/1238,"Se adapta al Reglamento (UE) 2019/1238 del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativo a un producto paneuropeo de pensiones individuales (PEPP).",,,,,
12/2024,Anteproyecto,Anteproyecto de ley de digitalización y modernización del sector financiero,Trasposición,Fiscalidad,En tramitación,Aprobado en primera vuelta por Consejo de Ministros,Sí,,,,Se adapta al Reglamento DORA; al Reglamento MiCA y la normativa europea sobre criptoactivos; al reglamento europeo de pagos instantáneos; a la normativa actual a la creación del Punto de Acceso Único Europeo (PAUE).,,,,,
11/2024,Proyecto de ley,Proyecto de Ley integral de impulso de la economía social,Aviso,Pol Social y Empleo,En tramitación,"Comisión de Trabajo, Eco. Social (Informe)",No,,,,"Adecuación y actualización de normas relacionadas con la economía social, en línea con las nuevas circunstancias económicas y sociales y con el Plan de Acción Europeo para la Economía Social",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000036,,,,
11/2024,Proposición de ley,"Proposición de Ley de modificación de la Ley 7/2022, de 8 de abril, de residuos y suelos contaminados para una economía circular",Aviso,"Sostenibilidad, CClimático, Econ Circular",Decaída,Decaído,No,,,,"Propuesta de modificación de la ley de redisuos y suelos urbanos para aliviar la presión económica sobre las empresas (especialmente en el sector agrícola) derivada de la transposición de la directiva marco de residuos y la directiva de plásticos de un solo uso, sin que vaya en detrimento de los objetivos de sostenibilidad de la UE",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122%2F000140,Presentada por el Grupo Parlamentario Popular en el Congreso. Decaída después. Se retoma ahora presentada por el Senado.,,,
10/2024,Anteproyecto,Anteproyecto de Ley por la que se modifican los criterios de tamaño de las empresas o grupos de empresas a efectos de información corporativa,Trasposición,"Empresa, Competitividad",En tramitación,Aprobado en primera vuelta por Consejo de Ministros,Sí,,(UE) 2023/2775,,Directiva (UE) 2023/2775,,,,,
10/2024,Proyecto de ley,"Proyecto de Ley de información empresarial sobre sostenibilidad, mediante la que se modifican el Código de Comercio, la Ley de Sociedades de Capital y la Ley de Auditoría de Cuentas.",Trasposición,"Empresa, Competitividad",En tramitación,Comisión de Justicia (enmiendas),Sí,SÍ,(UE) 2022/2464,,Directiva (UE) 2022/2464,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000038,,,,
10/2024,Proposición de ley,"Proposición de Ley de modificación de la Ley 24/2013, de 26 de diciembre, del Sector Eléctrico y la Ley 34/1998, de 7 de octubre, del sector de hidrocarburos para armonizar la información a incluir en las páginas web, contratos y facturas de electricidad y gas en relación a la resolución alternativa de litigios en materia de consumo.",Aviso,Energia,En tramitación,Comisión de Transición Ecológica (informe),No,,(UE) 2013/11,,Modifica leyes del sector eléctrico y de hidrocarburos apoyándose en la Directiva 2013/11 /UE sobre resolución alternativa de litigios en materia de consumo,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122%2F000130,,,,
10/2024,Proposición de ley,Proposición de Ley de Conciliación y Corresponsabilidad Familiar.,Aviso,Pol Social y Empleo,Decaída,Decaído,No,,(UE) 2019/1158,,Se apoya en la Directiva Europea 2019/1158 relativa a la conciliación de la vida familiar y profesional de los progenitores y cuidadores,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122%2F000129,,,,
10/2024,Proyecto de ley,"Proyecto de Ley de restablecimiento de la Comisión Nacional de la Energía, A.A.I.",Aviso,Energia,En tramitación,Comisión de Transición Ecológica (Enmiendas),No,,,2018/1999,"A nivel europeo se basa en el Reglamento (UE) 2018/1999 sobre Gobernanza de la Unión de la Energía y de la Acción por el Clima, el Pacto Verde Europeo y el amplio paquete legislativo que lo desarrolla (conocido como Fit for 55).",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000035,,,,
9/2024,Proposición de ley,"Proposición de Ley Orgánica para abordar la recuperación urgente por parte de las personas trabajadoras de los derechos de conciliación eliminados por la Ley Orgánica 2/2024, de 1 de agosto, de representación paritaria y presencia equilibrada de mujeres y hombres.",Trasposición,Pol Social y Empleo,En tramitación,Pleno toma en consideración,Sí,SÍ,(UE) 2019/1158,,No es transposición pero exige la rectificación de leyes aprobadas para la correcta aplicación de la Directiva 2019/1158 sobre concliliación de vida personal y profesional,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122%2F000127,,,,
9/2024,Otros,El CMin ha aprobado el 'Plan de Acción por la Democracia' con 31 medidas a implementar en 3 años,Trasposición,,En tramitación,Aprobado por Consejo Ministros,,,,,Adapta la normativa española al Reglamento Europeo sobre la Libertad de los Medios de Comunicación - EMFA (Ley de Medios),,,,,
7/2024,Proposición de ley,Proposición de Ley en apoyo del sistema alimentario español como sector estratégico esencial de la economía,Aviso,"Agricult, Pesca, Alimentacion",Decaída,Decaído (disconformidad del Gobierno con su tramitación),No,,,2021/2115,"* Apuesta por la agricutlura del carbono, en línea con el Pacto Verde Europeo y la Comunicación de la Comisión sobre ciclos de carbono sostenibles (COM(2021) 800 final). También establece ayudas para explotaciones agrarias en situación de crisis (Reglamento (UE) 2021/2115)",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122%2F000121,,,,
6/2024,Otros,"Ley Orgánica 1/2024, de 10 de junio, de amnistía para la normalización institucional, política y social en Cataluña.",Aviso,Justicia,Concluida,Aprobado con modificaciones,No,,(UE) 2017/541,,* Una nueva versión de la propuesta de ley se ampara en las pautas marcadas por la jurisprudencia europea y por la Directiva (UE) 2017/541 de 15 de marzo de 2017 relativa a la lucha contra el terrorismo,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122%2F000019,https://www.boe.es/buscar/act.php?id=BOE-A-2024-11776,11/06/2024,,
6/2024,Proyecto de ley,"Proyecto de Ley por la que se adoptan medidas urgentes para la simplificación y mejora del nivel asistencial de la protección por desempleo, y para completar la transposición de la Directiva (UE) 2019/1158 del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores, y por la que se deroga la Directiva 2010/18/UE del Consejo (procedente del Real Decreto-ley 2/2024, de 21 de mayo).",Trasposición,Pol Social y Empleo,En tramitación,"En comisión de Trabajo, Eco. Social (enmiendas)",Sí,SÍ,,,La norma incorpora por completo la directiva europea que recoge una serie de medidas para la conciliación familiar y profesional de los progenitores y los cuidadores.,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000027,,,,
6/2024,Real decreto-ley,"RDL 4/2024, de 26 de junio, por el que se prorrogan determinadas medidas para afrontar las consecuencias económicas y sociales derivadas de los conflictos en Ucrania y Oriente Próximo y se adoptan medidas urgentes en materia fiscal, energética y social.",Aviso,Medidas Economicas,Concluida,Convalidado y tramitado como proyecto de ley,No,,,,* sigue recomendaciones de la Comisión Europea en cuanto a recorte del IVA de determinados productos y rebajas en el IRPF,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=130/000007,https://www.boe.es/buscar/act.php?id=BOE-A-2024-12944,28/06/2024,,
6/2024,Proyecto de ley,Proyecto de Ley del Cine y de la Cultura Audiovisual,Aviso,"Cultura, Deporte",En tramitación,En la comisión de Cultura (enmiendas),No,,,651/2014,"* Establece ayudas al cine en línea con el Programa MEDIA de Europa Creativa, con la Comunicación (2013/C 332/01) de la Comisión y con el Reglamento (UE) 651/2014. También protege el patrimonio cinematográfico en línea con la Recomendación de la Comisión Europea de 27 de octubre de 2011 sobre digitalización y accesibilidad.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000026,,,,
6/2024,Proyecto de ley,"Proyecto de Ley por la que se modifica la Ley 1/2005, de 9 de marzo, por la que se regula el régimen del comercio de derechos de emisión de gases de efecto invernadero",Trasposición,"Sostenibilidad, CClimático, Econ Circular",Decaída,Retirado,Sí,,(UE) 2023/959 y (UE) 2023/958 ,2023/956 y 2023/957,"Traspone las Directivas 2023/959 y 2023/958 y los Reglamentos 2023/956 y 2023/957, que incluyen medidas para reducir emisiones en 2030 e imponer un precio al carbono emitido.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000025,,,,
6/2024,Proyecto de ley,"Proyecto de Ley por la que se modifican el texto refundido de la Ley sobre responsabilidad civil y seguro en la circulación de vehículos a motor, aprobado por el Real Decreto Legislativo 8/2004, de 29 de octubre, y la Ley 20/2015, de 14 de julio, de ordenación, supervisión y solvencia de las entidades aseguradoras y reaseguradoras",Trasposición,"Transporte, Movilidad",Concluida,Aprobada con modificaciones,Sí,SÍ,,,"El texto traspone la directiva europea de seguros de automóviles, que busca mejorar el sistema de valoración de indemnizaciones por daños personales y, también, asegurar la cobertura en casos de insolvencia de la aseguradora.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000022,https://www.boe.es/boe/dias/2025/07/25/pdfs/BOE-A-2025-15424.pdf,26/07/2025,,
6/2024,Otros,"Ley 7/2024, de 20 de diciembre, por la que se establecen un Impuesto Complementario para garantizar un nivel mínimo global de imposición para los grupos multinacionales y los grupos nacionales de gran magnitud, un Impuesto sobre el margen de intereses y comisiones de determinadas entidades financieras y un Impuesto sobre los líquidos para cigarrillos electrónicos y otros productos relacionados con el tabaco, y se modifican otras normas tributarias.",Trasposición,Fiscalidad,Concluida,Aprobada con modificaciones,Sí,SÍ,,,Se traspone la directiva europea que establece un impuesto mínimo global del 15% para los grupos de empresas multinacionales y nacionales de gran magnitud en la Unión Europea.,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000023,https://www.boe.es/boe/dias/2024/12/21/pdfs/BOE-A-2024-26694.pdf,22/12/2024,,
5/2024,Real decreto-ley,"RDL 2/2024, de 21 de mayo, por el que se adoptan medidas urgentes para la simplificación y mejora del nivel asistencial de la protección por desempleo, y para completar la transposición de la Directiva (UE) 2019/1158 del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores, y por la que se deroga la Directiva 2010/18/UE del Consejo",Trasposición,Pol Social y Empleo,Concluida,Convalidado y tramitado como proyecto de ley,Sí,SÍ,,,La norma incorpora por completo la directiva europea que recoge una serie de medidas para la conciliación familiar y profesional de los progenitores y los cuidadores.,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=130/000005,https://www.boe.es/buscar/pdf/2024/BOE-A-2024-10235-consolidado.pdf,23/05/2024,,
5/2024,Proyecto de ley,"Ley 8/2025, de 29 de septiembre, por la que se modifican la Ley 48/1960, de 21 de julio, sobre Navegación Aérea, y la Ley 21/2003, de 7 de julio, de Seguridad Aérea.",Trasposición,"Transporte, Movilidad",Concluida,Aprobada con modificaciones,Si,,,2018/1139 y 376/2014,"Actualiza la normativa para cumplir con tres reglamentos, el de notificación de sucesos en aviación (UE) 376/2014, el de normas comunes de la aviación civil (UE) 2018/1139 y el de normas comunes para servicios aéreos en la UE (CE) 1008/2008.  ",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000020,https://www.boe.es/boe/dias/2025/09/30/pdfs/BOE-A-2025-19339.pdf,20/10/2025,,
COMIENZO DEL PARLAMENTIAUE,,,,,,,,,,,,,,,,
12/2023,Otros,"Ley Orgánica 2/2024, de 1 de agosto, de representación paritaria y presencia equilibrada de mujeres y hombres.",Trasposición,Igualdad,Concluida,Aprobado con modificaciones,Sí,SÍ,(UE) 2022/2381,,El texto traspone la Directiva (UE) 2022/2381 que busca lograr una representación más equilibrada de mujeres y hombres entre los administradores de las sociedades cotizadas.,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000001,https://www.boe.es/buscar/act.php?id=BOE-A-2024-15936,22/08/2024,,
1/2024,Proyecto de ley,"Proyecto de Ley por la que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo",Aviso, Adm. Publica,En tramitación,En la comisión de Justicia (informe),No,,,910/2014,* Se incorpora el Reglamento (UE) Nº 910/2014 en cuanto a la identificación por medios electrónicos en la Administración de Justicia.,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000002,,,,
1/2024,Otros,"Ley 1/2025, de 1 de abril, de prevención de las pérdidas y el desperdicio alimentario",Aviso,"Agricult, Pesca, Alimentacion",Concluida,Aprobado con modificaciones,No,,(UE) 2008/98/CE,,* Los Estados miembros deben establecer sistemas de medición para conocer los residuos alimentarios generados y su evolución (Directiva 2008/98/CE).,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000004,https://www.boe.es/boe/dias/2025/04/02/pdfs/BOE-A-2025-6597.pdf,2/01/2025,,
1/2024,Proyecto de ley,"Proyecto de Ley por la que se crea la Agencia Estatal de Salud Pública y se modifica la Ley 33/2011, de 4 de octubre, General de Salud Pública",Aviso,Sanidad y Consumo,Decaída,Rechazado,No,,,528/2012 y 2016/679,"* Tasas exigibles por los servicios y actividades realizados en materia de plaguicidas de uso ambiental y en la industria alimentaria, así como para todos los biocidas en general (Reglamento (UE) Nº 528/2012). Se ampara también en el Reglamento (UE) 2016/679 sobre uso de datos de salud personales",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000007,,,,
1/2024,Proyecto de ley,"Proyecto de Ley por la que se adoptan medidas para afrontar las consecuencias económicas y sociales derivadas de los conflictos en Ucrania y Oriente Próximo, así como para paliar los efectos de la sequía (procedente del Real Decreto-ley 8/2023, de 27 de diciembre).",Aviso,Medidas Economicas,En tramitación,En la comisión de Hacienda y Función Pública (Informe),No,,,2022/2560,"* Modifica leyes para poder atenerse a la entrada en vigor (en enero de 2024) del Reglamento (UE) 2022/2560, que establece los procedimientos para investigar y corregir las subvenciones extranjeras que distorsionen el mercado interior de la UE.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000003,,,,
1/2024,Otros,"Ley 1/2024, de 7 de junio, por la que se regulan las enseñanzas artísticas superiores y se establece la organización y equivalencias de las enseñanzas artísticas profesionales.",Aviso,Educación,Concluida,Aprobado con modificaciones,No,,,,* El texto se inspira en los principios de protección y fomento del arte y la cultura que defiende la UE y en el compromiso adquirido en el marco del Proceso de Bolonia,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000005,https://www.boe.es/buscar/act.php?id=BOE-A-2024-11613,28/06/2024,,
2/2024,Proyecto de ley,"Proyecto de Ley por la que se modifican el texto refundido de la Ley del Estatuto de los Trabajadores, aprobado por el Real Decreto Legislativo 2/2015, de 23 de octubre, y otras disposiciones en materia laboral, para la transposición de la Directiva (UE) 2019/1152 del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativa a unas condiciones laborales transparentes y previsibles en la Unión Europea",Trasposición,Pol Social y Empleo,En tramitación,En la comisión de Trabajo (informe),Sí,SÍ,,,"Para cumplir con la directiva europea, la norma tiene por objeto promover unas condiciones laborales más transparentes y previsibles para los trabajadores de la UE que tengan un contrato de trabajo o una relación laboral.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000008,,,,
2/2024,Proyecto de ley,Proyecto de Ley de Movilidad Sostenible,Aviso,"Transporte, Movilidad",En tramitación,Pleno aprobación,No,,(UE) 2010/40,,* Se desarrolla la Directiva 2010/40/UE por la que establece el marco para la implantación de los sistemas de transporte inteligentes en el sector del transporte por carretera y para las interfaces con otros modos de transporte.,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000009,,,,
2/2024,Otros,"Ley 2/2024, de 1 de agosto, de creación de la Autoridad Administrativa Independiente para la Investigación Técnica de Accidentes e Incidentes ferroviarios, marítimos y de aviación civil.",Aviso,"Transporte, Movilidad",Concluida,Aprobado con modificaciones,No,,(UE) 2016/798,2009/2018 y 996/2010,"* Además de cumplir con la demanda europea de crear administraciones independientes para la investigación de accidentes, esta propuesta reúne en una única normativa los requisitos que establecen para cada tipo de investigación (marítima, ferrovial y aérea) las Directivas (UE) 2016/798 y (UE) 2009/2018 y el Reglamento (UE) 996/2010",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000010,https://www.boe.es/buscar/act.php?id=BOE-A-2024-15937,22/08/2024,,
3/2024,Proyecto de ley,"Proyecto de Ley de creación de la Oficina Española de Derechos de Autor y Conexos, O.A.",Aviso,Otros,En tramitación,En la comisión de Cultura (informe),No,,,,"* En línea con los compromisos adquiridos en el marco del PRTR, dentro del proyecto de ""Refuerzo de los derechos de autor y derechos conexos"" (Componente 24)",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000013,,,,
3/2024,Otros,"Ley 4/2024, de 8 de noviembre, básica de agentes forestales y medioambientales.",Aviso,"Sostenibilidad, CClimático, Econ Circular",Concluida,Aprobada con modificaciones,No,,,,"* En línea con la Estrategia en favor de los bosques de la Comisión Europea, actualizada en 2021 con objetivos para 2030",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121%2F000014,https://www.boe.es/boe/dias/2024/11/09/pdfs/BOE-A-2024-23271.pdf,10/11/2024,,
